Actions,WIID,Description,Type,Status,Date
,90141045,Generate Yearly Report for Vendor,WI4,Open,2022-07-02
,90141055,Generate Yearly Report for Vendor,WI4,Open,2017-07-08
,90141050,Generate Yearly Report for Vendor,WI4,Open,2021-10-11
,90141049,Generate Yearly Report for Vendor,WI4,Open,2021-12-11
,90141056,Generate Yearly Report for Vendor,WI4,Open,2020-09-12
,90141054,Generate Yearly Report for Vendor,WI4,Open,2019-05-16
,90141047,Generate Yearly Report for Vendor,WI4,Open,2019-05-05
,90141044,Generate Yearly Report for Vendor,WI4,Open,2022-08-06
,90141051,Generate Yearly Report for Vendor,WI4,Open,2020-09-29
,90141052,Generate Yearly Report for Vendor,WI4,Open,2018-12-18
,90141053,Generate Yearly Report for Vendor,WI4,Open,2022-06-28
,90141046,Generate Yearly Report for Vendor,WI4,Open,2019-05-27
,90141048,Generate Yearly Report for Vendor,WI4,Open,2021-11-19
